id,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,expected_incorrect_calls,correct_calls,expected_correct_calls,correct_calls_above_expected,accuracy,expected_accuracy,accuracy_above_expected,consistency,favor_home,total_run_impact
1,2022-11-05,Lance Barksdale,HOU,PHI,4,1,124,4,10,120,114,6,96.8,92,4.8,97.6,0.09,0.75
2,2022-11-03,Jordan Baker,PHI,HOU,2,3,149,6,7.4,143,141.6,1.4,96,95,0.9,97.3,-0.12,0.58
3,2022-11-02,Tripp Gibson,PHI,HOU,0,5,124,7,7.1,117,116.9,0.1,94.4,94.3,0.1,92.7,-0.1,0.56
4,2022-11-01,Dan Iassogna,PHI,HOU,7,0,140,5,6,135,134,1,96.4,95.7,0.7,92.9,0.63,0.73
5,2022-10-29,Pat Hoberg,HOU,PHI,5,2,129,0,8.7,129,120.3,8.7,100,93.2,6.8,96.1,0,0
6,2022-10-28,James Hoye,HOU,PHI,5,6,173,10,11.8,163,161.2,1.8,94.2,93.2,1,91.9,0.13,0.85
7,2022-10-23,Quinn Wolcott,PHI,SD,4,3,132,4,8.1,128,123.9,4.1,97,93.9,3.1,95.5,0.09,0.49
8,2022-10-23,Adrian Johnson,NYY,HOU,5,6,164,8,9.7,156,154.3,1.7,95.1,94.1,1,90.9,1.02,1.38
9,2022-10-22,Alfonso Marquez,NYY,HOU,0,5,158,9,8.8,149,149.2,-0.2,94.3,94.4,-0.1,96.2,0.55,1.27
10,2022-10-22,Adam Hamari,PHI,SD,10,6,144,8,8.4,136,135.6,0.4,94.4,94.1,0.3,96.5,0.43,0.79
11,2022-10-21,Ted Barrett,PHI,SD,4,2,144,6,5.7,138,138.3,-0.3,95.8,96.1,-0.2,92.4,-0.07,0.45
12,2022-10-20,D.J. Reyburn,HOU,NYY,3,2,126,6,6.7,120,119.3,0.7,95.2,94.7,0.5,93.7,-0.13,0.67
13,2022-10-19,Lance Barrett,SD,PHI,8,5,160,6,10.6,154,149.4,4.6,96.2,93.4,2.9,91.9,0.05,0.85
14,2022-10-19,Mike Muchlinski,HOU,NYY,4,2,149,9,9.7,140,139.3,0.7,94,93.5,0.4,93.3,0.43,1.49
15,2022-10-18,Alan Porter,NYY,CLE,5,1,132,6,8.5,126,123.5,2.5,95.5,93.6,1.9,95.5,0.24,0.56
16,2022-10-18,Brian Knight,SD,PHI,0,2,118,4,8,114,110,4,96.6,93.3,3.4,94.9,0.13,0.25
17,2022-10-16,Will Little,CLE,NYY,2,4,130,5,7.3,125,122.7,2.3,96.2,94.4,1.8,96.2,-0.21,0.47
18,2022-10-15,Stu Scheurwater,PHI,ATL,8,3,129,8,11.5,121,117.5,3.5,93.8,91.1,2.7,92.2,0.65,1.17
19,2022-10-15,Marvin Hudson,SEA,HOU,0,1,219,16,12.8,203,206.2,-3.2,92.7,94.2,-1.5,92.2,-0.68,1.72
20,2022-10-15,Dan Iassogna,CLE,NYY,6,5,149,9,7.2,140,141.8,-1.8,94,95.2,-1.2,96.6,-0.92,1.26
21,2022-10-15,John Tumpane,SD,LAD,5,3,158,11,9.8,147,148.2,-1.2,93,93.8,-0.8,94.9,1.14,1.8
22,2022-10-14,Jeremie Rehak,NYY,CLE,2,4,197,13,12.5,184,184.5,-0.5,93.4,93.6,-0.2,91.9,-0.11,1.97
23,2022-10-14,Bill Miller,PHI,ATL,9,1,128,10,11.3,118,116.7,1.3,92.2,91.2,1,89.8,0.47,0.93
24,2022-10-14,Mark Carlson,SD,LAD,2,1,178,8,10.2,170,167.8,2.2,95.5,94.3,1.2,95.5,0.82,1.72
25,2022-10-13,Jansen Visconti,HOU,SEA,4,2,141,7,7.2,134,133.8,0.2,95,94.9,0.2,96.5,0.35,0.81
26,2022-10-12,Nic Lentz,ATL,PHI,3,0,112,7,6.9,105,105.1,-0.1,93.8,93.9,-0.1,95.5,0.14,0.88
27,2022-10-12,Chris Segal,LAD,SD,3,5,160,11,10.1,149,149.9,-0.9,93.1,93.7,-0.6,91.9,0.58,1.58
28,2022-10-11,David Rackley,ATL,PHI,6,7,164,4,10.2,160,153.8,6.2,97.6,93.8,3.8,96.3,-0.4,0.78
29,2022-10-11,Pat Hoberg,HOU,SEA,8,7,146,6,9.3,140,136.7,3.3,95.9,93.6,2.3,94.5,0.39,0.79
